name,city,country,rating,price,price_amount,phone,email,website,url,source
"Country Inn & Suites by Radisson, Oklahoma City - Bricktown, OK",Oklahoma,USA,8.2,,,+1 405-900-5441,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UvQDTUyrk_KFqDqcKsrgdUZ-jVKeijD0pXq9-f3d51mIcSB13GVpUZ98ojAYhCfSoyJnB8oG6aXtXHMz9MoDBfyf7i7mOOwTpvbZpUx3HsJ6yNKHAI8y90cUNWEvIeOkPCd4whf0k3T9cFkCAGyVq0aQo6RtLOovtFSN5yF2rB2pEeYOeYkib2vCWqawcyJThBTTKHslWp7VANyYYXA_W8m40exEqQswJf9nTmf8kO2yo6KUapEvrmAtEtZAXP3TPNdBco-EA6Zew6Bt1V8CFd0VUgzZeFIfN3jQM4lor0quoDzdXYmmkJr97VJPkhzZyfe_lu-_Okpb3kIZSwjpA5RQY2kSexWYoEKn0Ju3SAwVOs3-QXIFDNq4u7Qam04jFaOGk-l6aOpSMIhc9zu2JQo31ORSeJYrJ6ztfXtXzGyjNyMYOJoUTSvbvhYwpye-nPInM1R8f8ripYZ69UhMCAUzw5sLjja3eToHKU2-sYzZA6PCEPRnKV4d69jBrmgVFfUFTMRC-648slnPW2dZVUOPJ5wkFSvyFsBg3x0V1rRt5mxBeerV5ItfoI_zt1bGI4nnuxi15j0iy4FURW3vVWDFSCWYugo2eTCerVpZfNob_1wKa1BXDu87BxGbKlD7y8CUW9otjGf15VK37b-CmPqWRG_G6po%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/country-inn-suites-by-radisson-oklahoma-city-bricktown-ok.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
Hawthorn Extended Stay by Wyndham Oklahoma City Airport,Oklahoma,USA,7.9,,,+1 405-768-4991,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UvYDTUyrk_KFqDoNWGlj2kdzMG2ASdUpHpjwtCxAZoOfauua0_tahFtCdiwiybt1gywa1mwBlTnL_NscY7G8p48yAEnYHFrGqpytA-T7-FX9rpMcl5m4oIjcfYBwTE7OWi2Xts2x1SRpPHqFV0yQ44OURvLSHcro3AaRLFkoMAKhbFGv0G-7WJA0KXeSppVtft73kiboUpee_hj8CZ1QsMirc3QcxttVzpckPFsrtbHXfK2IkpWXyTY-WriLXE7w_cvyblffEEadBscZi6qs3Yv35QjO28cRCCoT04nVxGHn51UUe-b_e0m7q04C13-2f1Yo78dKdIVmDi1Yh5Lafi4JoYpVL3bkQ91XeXSkcLC2Gr0ICTBq2LIjat3NgqcU_dEfWC_Uf4-6f_J7ss8LuS1Ey2gjxlJA61E4JH9WN1xIyfy-bt1zNGa4Ofb_RMN6lxCgwJzTkfSOxuySOjCaUB-C9yP8PhmH7E3uSLaES-g77X7psSLheVU1SJ5xTtpF_TxjlQ14IFZN7_NKwlHrZ0LMsKKNrlPP93_qtrNVFP1jMJ0vSiWs8W4OWqgMJEJxMFWGAvVO2wZ_15GWi6z6WB3t1zMdyy10N0lo6csQRvo33YAEJBDXH0xxoPRwW89c67ExPxJrC9BrAQh6J6WGSR_xZDP752Ji1A%3D%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/hawthorn-suites-by-wyndham-oklahoma-city-airport-fairground.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
"New 4 Br, Okc, Walk 2 Ou Med, Sleeps 8, 4 King Bed",Oklahoma,USA,,,,,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UukDTUyrk_KFqDrVht4MLmkEtvl0Q2x1tGdW2vosSu2eO-BS6RAwwbO_g7kOXey0lcxgIuUcVIru9uAPEp4Bp9h3FjJKH0cOvWO_xJFQJuUQpmCGybl6XjVb_NH8_bczNCPaJDJaHZ4PZuI4mXvwYAx66nNjCKFsTgOCdZYkWTUygcQMuN9S3oVFRqN1G-E8mOPne_Sa2ymatMK9GFpBsV0-nokhhd0wvskNQTjbpAcrmpCyrebSHeqqaFgDRyFA5V0ejDrFONlcXdKvX8Ib5LoFprnk3cBEf9H0I3yr4OxeYzRqoIFpFJOQfEUZS2pq998aMVABa6-4d1Xoj8AVYeIIeJDkJOqQpPlY4nS3EgCKvuu2cDgpXJczoCG5lgHiEyPIbJc-ku0n_mJCvczVQrYUsBnhVzPXgI7AInh07iAmJgp9LcnwXLLvlA7nmRAr5O8TgfsNdEf1zeDELhpLWYI9lRmk5JsYYtDXvQC41FVb3IZ4Js1Zr726791CXGTxjtfh_RISc0bLgZ6B1JkxQyvFRCoVQwcotzLwU6nhE-Ej6Sm_xZcA1WlhiUpwGykd_O8dRDdckUA-see6VZi_q7OBKRel8v-iZxS06WsJo9A_i9TvJ8ielDQodoQwtOJiCj5kS_4XR-J_rx6z*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/new-4-br-okc-walk-2-ou-med-sleeps-8-4-king-bed.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
Wyndham Grand Oklahoma City Downtown,Oklahoma,USA,7.8,,,+1 405-228-8000,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=Ut8DTUyrk_KFqDqmcS9hCf9jZZnjgNnnZ9fcgFIPWzKCA-lLAfBXGLC945yw8kjmFbIRGrstZQR9lGK6Fa5_64nKMWk3YGeCJyDnFjvOnXn1zg3o4icDeKT_SuEmsMdWkmBRy87BJZIHjerdP98dDCg-Dw-9d4AmVkDY5GzD8nT46HjUh8Ig5XGFMvDruAZ3T8IXzZt80j21AQqtVCNh8Tp4KzgvrHLHQcoxT7kEVldDf04-Et-YyLLMNzdCos8mfikHCyQa8ZoEXRthqtXM8HeziMf_gUJIZhPwMu6rZ8G-v44z_9G9R1-OiqiBE-q0T46QonZ0Z4MYX5aJA-NZmnNMobJvexqkqZ_Xv1GV__QnzfciV06hlDx34R6caMCyYXKE_BALRt6_tvhDxeFZfe1b5J6yexHz8usAfp4PpBIo1Om6vcO5ZmDXB0rWc2w0nFLktX1fDeBtitJoobrmKzJ0vwPjsNKrp9qmGP79iu7oXoUOeJrAFIDSD4dJ-JwMeAG8AjnB1Rz8dtSgg2Eio8Ej1Cys565CDcU9VLB1ZdOKupS9H73-S_CUY1nUsVbBch3tpoIRfz61XYDRnqlSYd9WSzfPZhqGlf3kJN_Z959KAiStmqilF2mQjeoqVJJo2kM%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/wyndham-grand-oklahoma-city-downtown.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
"Country Inn & Suites by Radisson, Oklahoma City - Quail Springs, OK",Oklahoma,USA,8.2,,,+1 405-286-3555,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UtQDTUyrk_KFqDp5vm2thmN51cs449kfee9mdRJX812ndhcfDgCOLUpDBhX5Jxu-n4N6he_8pAIgAqUOs7qGgSOPhJZAFVKXqXjuxVpNnLKJnJz6qdAUDa5xWZrxVp-R-4rtLOIzZUi0wL8bh-7qHHMeG6GN46jq1qSpcSrO4XoxdBLgAv-x5rCbjO8VCR7YvX1wakE-6nGqfqQaXzpsBcS9CHvxpTT6h-_13FiEXj7gzs_14oL8EJzETt-GIRvzcjIC-J087EVoFIZ9p_XGY5CEMZi5ZSwTq-HhgB25OVVASyZiRDznO9l-_0xdaNNPiUxqz2ENohj7gB_RK8gLBjEAMx0pqgejP3ccKJFrPyf_EuyDEFdbbCDWo4CAbaWuonITr-vulUWwFCDIBTDlkkdjOVzD_NqXeP6Sfhi-vPrkSLk50RQD_dKDLVu3JbCOGCni-EXcgsjPCJitGQwf9zIFuDmlItLt2h74SLICeijFy3xRpn15buGnfyclOlHvl-3j180f1DZgWwXe7w0mahiXILonf0x1AIpP4V5D0GLr6DoyECW-Pa0Eg8mHUOAGc9eHy2KvwXAyJZNrkIQhgi9CCgf9NB3X0nXYtxDB-Vzh2diAvXiu*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/country-inn-oklahoma-city.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
Paradise on the Prairie,Oklahoma,USA,,,,,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UtIDTUyrk_KFqDqKouqaqpaBlNgYCoVSah9-7fybP-bM9q9xW_Ai7H9eiXmx4FKNgdplbkuuhVk2JDHB3DrP7HUUFJSNsTT1hwppNNRebomnXst1OfhlKJvY0v0AV5jbAyraX0c-DYW1dwmbbQkBUkmug-QXTopNJSpR_P5mV6FevdDxjMKmhSBJPCHfuty764cdyvmzO8ATayZ2Rqb2qXCAI7mXteyLTYZB3MaP-7JfbxxOufkpaB9PJjOgS4nB7B4sE3IbHb6jkjU3Wrx5Wl_OBtF4h_i3uePxF3nxy031yB8Sle2IgN1eGPrIBUZ6Yt89Z2ytiQig4-r9ltuoEXLNstxJwpFb674ev7gS23OikKVwS_VEEq-NbeIJF9v5ZGYu6e5zPyocHjHUqxbJsuYjhJxJFkfWWrTy_gk257VXTBYm9uYV_SdJrrpfgXidu713P5GBmtj6JCdVLSGjZcyon5GQg4WWrGN2fBpQat-rpcgKI-hls2dYzACrzIn_Pt5gmx9uFe9sNKRzGcZDCp3aJma1y1QaLvLQIGwWpox6rckBeoG0dcW5JWZ8MHATXRLdXCAPMvWD22q5XdZraJgAPGAc_dmaa8u211j86ppui61V5Q%3D%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/paradise-on-the-prairie.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
"Howard Johnson by Wyndham Oklahoma City OKC Airport, Fairgrounds, I40",Oklahoma,USA,7,,,+1 405-896-8493,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=Ut8DTUyrk_KFqDqQDiRpe4Z-P-wiimjqcKWtWJgvQXczJ1zGwbA15fnamiYYlxdWCjHH5D41a6uUK63SKL96t3T_Krfzv2Oxe1Yh7am_XKj3tI-9gENn5i8cIO3mwgSuhEYOxWS2Ui6wL354f8M0q1sRqdYqnSm_UApVrePbD2JxAVB3rCwTP5sH6z8x8pdObj95EvMidaZvKj78Gv6sAvU-Y3CrW6jrN5t8IGlo_h1KG8qKBSFZkLMyXb9Iu80-r_OpXCpFrybaHsd4POtefc6bOgN99KIkjkJARe_GZDc6QTeerEr-4Zrsp7HUVSWXvrUrIVHf8z-572blwGueqSYIWjj6TodQvkC0Ji_raSUAIrX67DdDcRSAb8ibqBoEoeKVOo4hZwCWGdl9ky-0MocSmSMbq-dpL4Q8jTCmqox5XntpQWnLAja4_aR3ZPmZogDwCW2RM73sw7ZRFfgAhNCuwmgvIaHp6_caZhMj_KyPHcBhTt__4VYcohqDWFUJZnSW1lRKkMKWFVFnF0YM_tSYi9hwX1AHwRCvjlai8KRUoEDccDYPpYYw7ovD_kreDEJnSGaC3-PFm22GDDvOgCwIacTV_r1gGqFAEqSGf6xGod7E45u3GdvvYcdgCTGV5pg%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/howard-johnson-express-oklahoma-city.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
La Quinta by Wyndham Oklahoma City - NW Expwy,Oklahoma,USA,8.3,,,+1 405-367-3183,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=Uu0DTUyrk_KFqDp5zCz2CIXTTsIkYnFvFlQIDbERTxZZYLOW54Xo2BpoYi4ibt1uNA01WmbTKPmFslfWdq4HE3wC3qU0bfyLJNZehZO9mlqHSZWKr90WXD4e0q7dA9ubuxb4bdDGrkJheDgGcH5pAYm4dY41YxWAjISqE8yKfNKWwsKXvukk0qtxGAHCusdvuGdm9E9AqJesaPFjOUtl5lByqE1S2vrYwrFDAxsN18JQjaoZaes1z4DlmTYdq17sGIvZNxtrhbnNzULen3K9_dCNBJXD4-5yioa99Zi0Tqo4esQntRnJGEPTetGF1ZwypEkEOoX3ehE19S3gDd02tXFUjn9YO39eFjEd7TnY0eoefPyOYh4mrdjfERAk1uDXjEUCtU3aycQ2ORIx6JqQLeW99ZC6388fW52QphwevpfKQmpq_us0JeNg8qqbTO8C2frubHPlpPdbl5VECh7B7e8NP8Y5GoSoZ1g5aYx7dvmzwvlP7kjQxZROlSMcHjZLr3cc85oIuQozgmgrQ3POLu8Xn2UWHtGKXS22u5c4hwD7GZ-CCJy2qeJEWR2dbORpRaVA1mfBVWEWal_JuipukCmZVw-vkP7hmC7rDDWLG7XxFqWnqrzhxATK_vkSdYm0VIEvKx8PFq6EsQ8lkF_PEA%3D%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/inn-and-suites-oklahoma-city-north-west-expressway.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
Sheraton Oklahoma City Downtown Hotel,Oklahoma,USA,8.3,,,+1 405-235-2780,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UtEDTUyrk_KFqDp_0U3wcFzfORxQ32OVK5HbLzb-75O2tG5fRHBjpgK6AhCeH8y0OUcedYmDZ5HtY0C-is4ypK6qKO3zrmG8kl_oZA6wgGSTa1XWUmGI3pDRhp9kTB9Jq_S1PwhbRAKkOCak0uUJDhzSsJKJmxusl_DkgsdBqMpucMksCYCuPfR8RMQALgvNQ8ZUSg3XSdwQLXBLxE0xxmUr3MNveHvfVeR6dp3eaoynQ31nFcl_R8oNbHWxP1YR19Zqvr5dkR3buJWpDVe8rrZVrcsclsSOiCyu8DYmEaaxgDTITaXczu0mzYbo6Zw-KTZR1neN6cRlAJl2iXq-YfZjMW4gkkAGldJ1njlckJ7fsgZa3r46mBpAQKenC3aMuakrqCFkIyHad4e5D3ZA3DQnaWvzdsHKSmGu_bmk0iI8xQ2bLydwwfneSElKLeVNrpzMfMtT1VfW46sUQ-hStNYrHuAf8wiFKWGwXigDFMKF5gWozjpAmVX_iJDDrtWD7c8WcaWLrtUDJddLzwf1P71RjQmro-8XcYq5eC2Q6DuugORhNA9ghYbf_dUo8ekJ9KtiUOcTPgCh317TrTPXyTJ1RRryRhRDQS85xwzuj_fUJmXz*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/sheraton-oklahoma-city.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
Ramada by Wyndham Oklahoma City Airport North,Oklahoma,USA,6.2,,,+1 405-896-8445,,https://account.booking.com/auth/oauth2?client_id=vO1Kblk7xX9tUn2cpZLS&redirect_uri=https%3A%2F%2Fsecure.booking.com%2Flogin.html%3Fop%3Doauth_return&response_type=code&lang=en-us&aid=304142&bkng_action=hotel&prompt=signin&state=UsoDTUyrk_KFqDr-hE6UtKDryMh79RCboT0z50HQKCTepaN9mFlamNIPjeHRQTq7EgmQdNfm4y4GzEPO_NQTbQhMD3oAHANz9WTKZEy51t7Y-kCF9Ne6UoG61drV-tAZyEgOuHaQm4pbHuT46kcb0rdv9Ez19mwpg86LojxgyZK2FE_heeKcb_ZssogdIwiNT79uUIT6_XoF649zKTHFokQQFYyabTxm_3idHZx_WuUTAc8F5lMx_7daEX9MIl9om733MP3ddSmvDgk5RwgA4uGDgVgnySg5ihWaOHNIf2eOPsxI0zj7xWa5jqLWNnDFcNE7Hg0cBVOJjW7ONEFImehiYXJvuyWFbpgVtRhqVqHoJGUQDOZUX86Pv1cIvQnvDFUuCNJgKHsCfd7TCfxfqu9Aofw4mR31SiSkg2P3Fny34dlsGhPFeFIW1Yc6uQr64dDbmtKuaQPdfbm0KStQxcHrHOZTfkgyqErNus1M-AQ4QkAMjJu2SJ7HgRC_N4trP40YMK7XStxRXHN6RwiaJ9RH-OVMB-_b-MDy6CxvLHuWM8KRu2IY3ObI2zsL242enIVfWL6_jRKOpD9oiLikvZSj_gt3yy3PJIIn3po%3D*eyJpZCI6InRyYXZlbGxlcl9oZWFkZXIifQ%3D%3D,https://www.booking.com/hotel/us/airport-north.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0af432c0ecea4399f9de723f586d349a&srepoch=1752822226&from=searchresults,Booking.com
